,Day,Google Trends
1048,2022-11-14,51
1049,2022-11-15,59
1050,2022-11-16,0
1051,2022-11-17,0
1052,2022-11-18,54
1053,2022-11-19,56
1054,2022-11-20,55
1055,2022-11-21,44
1056,2022-11-22,41
1057,2022-11-23,0
1058,2022-11-24,42
1059,2022-11-25,0
1060,2022-11-26,42
1061,2022-11-27,43
1062,2022-11-28,40
1063,2022-11-29,37
1064,2022-11-30,50
1065,2022-12-01,47
1066,2022-12-02,61
1067,2022-12-03,0
1068,2022-12-04,0
1069,2022-12-05,45
1070,2022-12-06,68
1071,2022-12-07,75
1072,2022-12-08,58
1073,2022-12-09,40
1074,2022-12-10,0
1075,2022-12-11,0
1076,2022-12-12,51
1077,2022-12-13,40
1078,2022-12-14,65
1079,2022-12-15,38
1080,2022-12-16,80
1081,2022-12-17,63
1082,2022-12-18,56
1083,2022-12-19,93
1084,2022-12-20,56
1085,2022-12-21,100
1086,2022-12-22,0
1087,2022-12-23,0
1088,2022-12-24,0
1089,2022-12-25,0
1090,2022-12-26,58
1091,2022-12-27,56
1092,2022-12-28,0
1093,2022-12-29,45
1094,2022-12-30,0
1095,2022-12-31,0
1096,2023-01-01,0
1097,2023-01-02,30
1098,2023-01-03,47
1099,2023-01-04,29
1100,2023-01-05,0
1101,2023-01-06,38
1102,2023-01-07,36
1103,2023-01-08,0
1104,2023-01-09,0
1105,2023-01-10,47
1106,2023-01-11,0
1107,2023-01-12,0
1108,2023-01-13,26
1109,2023-01-14,38
1110,2023-01-15,0
1111,2023-01-16,26
1112,2023-01-17,38
1113,2023-01-18,0
1114,2023-01-19,42
1115,2023-01-20,34
1116,2023-01-21,37
1117,2023-01-22,30
1118,2023-01-23,28
1119,2023-01-24,24
1120,2023-01-25,40
1121,2023-01-26,27
1122,2023-01-27,0
1123,2023-01-28,0
1124,2023-01-29,0
1125,2023-01-30,31
1126,2023-01-31,0
1127,2023-02-01,30
1128,2023-02-02,29
1129,2023-02-03,30
1130,2023-02-04,0
1131,2023-02-05,0
1132,2023-02-06,25
1133,2023-02-07,0
1134,2023-02-08,0
1135,2023-02-09,0
1136,2023-02-10,0
1137,2023-02-11,0
1138,2023-02-12,33
1139,2023-02-13,37
1140,2023-02-14,0
1141,2023-02-15,0
1142,2023-02-16,0
1143,2023-02-17,0
1144,2023-02-18,0
1145,2023-02-19,65
1146,2023-02-20,0
1147,2023-02-21,26
1148,2023-02-22,0
1149,2023-02-23,24
1150,2023-02-24,0
1151,2023-02-25,0
1152,2023-02-26,0
1153,2023-02-27,0
1154,2023-02-28,36
1155,2023-03-01,26
1156,2023-03-02,42
1157,2023-03-03,0
1158,2023-03-04,0
1159,2023-03-05,0
1160,2023-03-06,38
1161,2023-03-07,0
1162,2023-03-08,38
1163,2023-03-09,26
1164,2023-03-10,0
1165,2023-03-11,0
1166,2023-03-12,0
1167,2023-03-13,28
1168,2023-03-14,58
1169,2023-03-15,30
1170,2023-03-16,29
1171,2023-03-17,33
1172,2023-03-18,0
1173,2023-03-19,0
1174,2023-03-20,28
1175,2023-03-21,36
1176,2023-03-22,0
1177,2023-03-23,34
1178,2023-03-24,0
1179,2023-03-25,38
1180,2023-03-26,0
1181,2023-03-27,35
1182,2023-03-28,35
1183,2023-03-29,28
1184,2023-03-30,0
1185,2023-03-31,0
1186,2023-04-01,0
1187,2023-04-02,0
1188,2023-04-03,0
1189,2023-04-04,0
1190,2023-04-05,33
1191,2023-04-06,0
1192,2023-04-07,43
1193,2023-04-08,44
1194,2023-04-09,100
1195,2023-04-10,65
1196,2023-04-11,65
1197,2023-04-12,72
1198,2023-04-13,61
1199,2023-04-14,65
1200,2023-04-15,92
1201,2023-04-16,66
1202,2023-04-17,57
1203,2023-04-18,29
1204,2023-04-19,28
1205,2023-04-20,47
1206,2023-04-21,0
1207,2023-04-22,0
1208,2023-04-23,0
1209,2023-04-24,0
1210,2023-04-25,0
1211,2023-04-26,30
1212,2023-04-27,0
1213,2023-04-28,29
1214,2023-04-29,0
